









Frequency of observations in the selected location(s).:
Number of taxa: 	336

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	74.0	52.0	48.0	77.0	29.0	43.0	33.0	46.0	49.0	40.0	55.0	74.0	52.0	75.0	72.0	116.0	84.0	109.0	93.0	76.0	47.0	55.0	51.0	48.0	28.0	29.0	31.0	39.0	42.0	31.0	44.0	68.0	54.0	74.0	66.0	75.0	60.0	80.0	62.0	73.0	52.0	54.0	46.0	68.0	37.0	43.0	42.0	77.0	

Snow Goose	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0375	0.016129032258064516	0.0273972602739726	0.038461538461538464	0.037037037037037035	0.021739130434782608	0.0	0.0	0.0	0.023809523809523808	0.012987012987012988	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.027777777777777776	0.017241379310344827	0.023809523809523808	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014705882352941176	0.0	0.013513513513513514	0.015151515151515152	0.013333333333333334	0.05	0.0125	0.08064516129032258	0.0958904109589041	0.09615384615384616	0.09259259259259259	0.043478260869565216	0.014705882352941176	0.0	0.0	0.0	0.0	
Brant	0.28378378378378377	0.09615384615384616	0.22916666666666666	0.3246753246753247	0.4482758620689655	0.3953488372093023	0.5454545454545454	0.6956521739130435	0.5306122448979592	0.7	0.8	0.7432432432432432	0.75	0.84	0.8055555555555556	0.7758620689655172	0.75	0.3211009174311927	0.21505376344086022	0.039473684210526314	0.02127659574468085	0.03636363636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.0	0.0136986301369863	0.0015	0.037037037037037035	0.10869565217391304	0.11764705882352941	0.2972972972972973	0.2558139534883721	0.3333333333333333	0.15584415584415584	
Cackling Goose	0.02702702702702703	0.0	0.020833333333333332	0.025974025974025976	0.0	0.0015	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.013333333333333334	0.05555555555555555	0.008620689655172414	0.0	0.0	0.010752688172043012	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02666666666666667	0.08333333333333333	0.075	0.08064516129032258	0.0958904109589041	0.07692307692307693	0.037037037037037035	0.043478260869565216	0.014705882352941176	0.0	0.023255813953488372	0.023809523809523808	0.012987012987012988	
Canada Goose	0.0945945945945946	0.057692307692307696	0.14583333333333334	0.07792207792207792	0.10344827586206896	0.046511627906976744	0.21212121212121213	0.13043478260869565	0.16326530612244897	0.25	0.34545454545454546	0.3108108108108108	0.38461538461538464	0.3333333333333333	0.4305555555555556	0.5258620689655172	0.39285714285714285	0.41284403669724773	0.44086021505376344	0.39473684210526316	0.3617021276595745	0.12727272727272726	0.0	0.0	0.0	0.034482758620689655	0.03225806451612903	0.07692307692307693	0.14285714285714285	0.0	0.045454545454545456	0.04411764705882353	0.16666666666666666	0.1891891891891892	0.22727272727272727	0.18666666666666668	0.13333333333333333	0.175	0.1935483870967742	0.1917808219178082	0.2692307692307692	0.16666666666666666	0.13043478260869565	0.19117647058823528	0.08108108108108109	0.20930232558139536	0.11904761904761904	0.09090909090909091	
Cackling/Canada Goose	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008620689655172414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
