









Frequency of observations in the selected location(s).:
Number of taxa: 	343

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	16.0	12.0	9.0	20.0	7.0	5.0	6.0	4.0	4.0	5.0	5.0	10.0	12.0	7.0	20.0	23.0	16.0	16.0	9.0	10.0	7.0	9.0	2.0	6.0	13.0	3.0	12.0	14.0	20.0	11.0	17.0	15.0	9.0	25.0	22.0	46.0	26.0	35.0	51.0	127.0	118.0	51.0	30.0	38.0	22.0	28.0	11.0	16.0	

Emperor Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.25	0.3333333333333333	0.2222222222222222	0.45	0.14285714285714285	0.2	0.0015	0.75	0.0	0.0	0.4	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.08571428571428572	0.11764705882352941	0.3228346456692913	0.13559322033898305	0.0784313725490196	0.26666666666666666	0.3157894736842105	0.36363636363636365	0.42857142857142855	0.36363636363636365	0.375	
Greater White-fronted Goose	0.125	0.08333333333333333	0.3333333333333333	0.3	0.14285714285714285	0.0	0.16666666666666666	0.75	0.25	0.4	0.4	0.3	0.08333333333333333	0.2857142857142857	0.1	0.0	0.125	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.045454545454545456	0.2826086956521739	0.23076923076923078	0.2	0.37254901960784315	0.09448818897637795	0.17796610169491525	0.23529411764705882	0.2	0.42105263157894735	0.09090909090909091	0.03571428571428571	0.0	0.1875	
Brant	0.0625	0.0	0.1111111111111111	0.15	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.05	0.043478260869565216	0.125	0.0	0.0	0.2	0.0	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023622047244094488	0.00847457627118644	0.0	0.0015	0.05263157894736842	0.0	0.07142857142857142	0.0	0.0	
Cackling Goose	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.043478260869565216	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13636363636363635	0.2391304347826087	0.38461538461538464	0.34285714285714286	0.3137254901960784	0.23622047244094488	0.19491525423728814	0.2549019607843137	0.3333333333333333	0.18421052631578946	0.22727272727272727	0.07142857142857142	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.25	0.0	0.2	0.0	0.3	0.08333333333333333	0.14285714285714285	0.05	0.21739130434782608	0.1875	0.0625	0.1111111111111111	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.16666666666666666	0.14285714285714285	0.0	0.0	0.0	0.0	0.1111111111111111	0.04	0.0	0.13043478260869565	0.07692307692307693	0.2571428571428571	0.1568627450980392	0.2125984251968504	0.16101694915254236	0.19607843137254902	0.26666666666666666	0.4473684210526316	0.18181818181818182	0.03571428571428571	0.0	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.0	0.0	0.0	0.03937007874015748	0.00847457627118644	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	
goose sp.	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023622047244094488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
