









Frequency of observations in the selected location(s).:
Number of taxa: 	225

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	20.0	23.0	66.0	62.0	13.0	34.0	23.0	7.0	18.0	24.0	11.0	17.0	11.0	7.0	10.0	22.0	7.0	11.0	18.0	11.0	7.0	21.0	12.0	22.0	14.0	19.0	22.0	29.0	27.0	19.0	19.0	28.0	9.0	14.0	12.0	30.0	11.0	22.0	18.0	36.0	15.0	21.0	30.0	24.0	17.0	14.0	12.0	29.0	

Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.05555555555555555	0.1111111111111111	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	
Brant	0.05	0.0	0.045454545454545456	0.14516129032258066	0.15384615384615385	0.08823529411764706	0.0	0.0	0.05555555555555555	0.16666666666666666	0.18181818181818182	0.0	0.0	0.0	0.0	0.09090909090909091	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.1	0.08333333333333333	0.23529411764705882	0.2857142857142857	0.25	0.06896551724137931	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.041666666666666664	0.0	0.07142857142857142	0.0	0.0	
Canada Goose	0.0	0.043478260869565216	0.045454545454545456	0.04838709677419355	0.07692307692307693	0.08823529411764706	0.13043478260869565	0.2857142857142857	0.3888888888888889	0.25	0.45454545454545453	0.7058823529411765	0.7272727272727273	0.7142857142857143	0.5	0.6363636363636364	0.5714285714285714	0.5454545454545454	0.2777777777777778	0.18181818181818182	0.14285714285714285	0.14285714285714285	0.0	0.045454545454545456	0.0	0.0015	0.045454545454545456	0.0	0.0	0.05263157894736842	0.0	0.10714285714285714	0.2222222222222222	0.07142857142857142	0.08333333333333333	0.06666666666666667	0.09090909090909091	0.0	0.0	0.027777777777777776	0.0	0.09523809523809523	0.1	0.0	0.0	0.14285714285714285	0.08333333333333333	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.0	0.015151515151515152	0.0	0.0	0.0	0.08695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
