









Frequency of observations in the selected location(s).:
Number of taxa: 	251

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	34.0	25.0	13.0	28.0	24.0	16.0	26.0	10.0	12.0	23.0	29.0	39.0	14.0	19.0	15.0	14.0	14.0	16.0	15.0	20.0	15.0	16.0	14.0	16.0	23.0	11.0	19.0	20.0	18.0	27.0	34.0	28.0	21.0	8.0	20.0	24.0	22.0	13.0	23.0	36.0	23.0	28.0	33.0	53.0	34.0	27.0	21.0	59.0	

Emperor Goose	0.11764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23809523809523808	0.1016949152542373	
Snow Goose	0.0	0.0	0.0	0.0	0.20833333333333334	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.029411764705882353	0.07407407407407407	0.0	0.0	
Greater White-fronted Goose	0.11764705882352941	0.16	0.0	0.14285714285714285	0.041666666666666664	0.1875	0.11538461538461539	0.1	0.08333333333333333	0.043478260869565216	0.0	0.0	0.0	0.0	0.06666666666666667	0.07142857142857142	0.07142857142857142	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.09090909090909091	0.0	0.043478260869565216	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.047619047619047616	0.06779661016949153	
Brant	0.0	0.08	0.0	0.10714285714285714	0.125	0.1875	0.07692307692307693	0.3	0.16666666666666666	0.08695652173913043	0.10344827586206896	0.07692307692307693	0.14285714285714285	0.21052631578947367	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11864406779661017	
Cackling Goose	0.35294117647058826	0.16	0.15384615384615385	0.35714285714285715	0.4166666666666667	0.25	0.2692307692307692	0.2	0.16666666666666666	0.21739130434782608	0.0	0.1282051282051282	0.0	0.0	0.13333333333333333	0.07142857142857142	0.07142857142857142	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.13636363636363635	0.15384615384615385	0.17391304347826086	0.2222222222222222	0.21739130434782608	0.17857142857142858	0.21212121212121213	0.16981132075471697	0.058823529411764705	0.2222222222222222	0.23809523809523808	0.22033898305084745	
Canada Goose	0.5	0.44	0.23076923076923078	0.5357142857142857	0.75	0.5625	0.5384615384615384	0.7	0.4166666666666667	0.5652173913043478	0.6551724137931034	0.6153846153846154	0.42857142857142855	0.5789473684210527	0.5333333333333333	0.5714285714285714	0.7142857142857143	0.75	0.7333333333333333	0.8	0.4666666666666667	0.5625	0.42857142857142855	0.625	0.7391304347826086	1.0	0.7368421052631579	0.75	0.5	0.2222222222222222	0.3235294117647059	0.5357142857142857	0.42857142857142855	0.0	0.65	0.3333333333333333	0.36363636363636365	0.7692307692307693	0.6956521739130435	0.5555555555555556	0.391304347826087	0.5	0.42424242424242425	0.5660377358490566	0.29411764705882354	0.3333333333333333	0.6190476190476191	0.4576271186440678	
Trumpeter Swan	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.018867924528301886	0.029411764705882353	0.0	0.0	0.0	
Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.01694915254237288	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.20588235294117646	0.28	0.15384615384615385	0.14285714285714285	0.0	0.0625	0.0	0.0	0.0	0.13043478260869565	0.0	0.02564102564102564	0.0	0.05263157894736842	0.06666666666666667	0.0	0.07142857142857142	0.0625	0.0	0.0	0.06666666666666667	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.029411764705882353	0.03571428571428571	0.047619047619047616	0.0	0.05	0.0	0.0	0.0	0.0	0.05555555555555555	0.043478260869565216	0.07142857142857142	0.030303030303030304	0.03773584905660377	0.029411764705882353	0.037037037037037035	0.047619047619047616	0.2711864406779661	
Gadwall	0.6764705882352942	0.64	0.6923076923076923	0.4642857142857143	0.625	0.6875	0.5769230769230769	0.7	0.5833333333333334	0.5217391304347826	0.5862068965517241	0.6410256410256411	0.7142857142857143	0.7894736842105263	0.4	0.5714285714285714	0.9285714285714286	0.5	0.4666666666666667	0.5	0.13333333333333333	0.25	0.21428571428571427	0.0625	0.043478260869565216	0.0	0.0	0.0	0.16666666666666666	0.0	0.029411764705882353	0.0	0.09523809523809523	0.0	0.05	0.041666666666666664	0.0	0.3076923076923077	0.30434782608695654	0.4722222222222222	0.6086956521739131	0.6428571428571429	0.6666666666666666	0.5283018867924528	0.7352941176470589	0.6296296296296297	0.5714285714285714	0.5932203389830508	
Eurasian Wigeon	0.08823529411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.08333333333333333	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.09090909090909091	0.0	0.029411764705882353	0.0	0.09523809523809523	0.01694915254237288	
American Wigeon	0.7941176470588235	0.64	0.6923076923076923	0.5714285714285714	0.7916666666666666	0.625	0.5769230769230769	0.5	0.5833333333333334	0.6521739130434783	0.6206896551724138	0.6153846153846154	0.5714285714285714	0.5789473684210527	0.3333333333333333	0.42857142857142855	0.6428571428571429	0.25	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.1	0.20833333333333334	0.22727272727272727	0.46153846153846156	0.6956521739130435	0.8333333333333334	0.9130434782608695	0.75	0.8484848484848485	0.7358490566037735	0.8235294117647058	0.6296296296296297	0.5714285714285714	0.6271186440677966	
Eurasian x American Wigeon (hybrid)	0.08823529411764706	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.08695652173913043	0.0	0.030303030303030304	0.03773584905660377	0.029411764705882353	0.037037037037037035	0.047619047619047616	0.06779661016949153	
Eurasian/American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard	0.7058823529411765	0.76	0.7692307692307693	0.5	0.75	0.75	0.6538461538461539	0.5	0.5	0.6956521739130435	0.6206896551724138	0.8205128205128205	0.6428571428571429	0.8421052631578947	0.8666666666666667	0.7142857142857143	0.9285714285714286	0.875	0.6666666666666666	0.65	0.5333333333333333	0.4375	0.5	0.4375	0.391304347826087	0.45454545454545453	0.3157894736842105	0.45	0.4444444444444444	0.4074074074074074	0.6764705882352942	0.6071428571428571	0.7619047619047619	0.375	0.6	0.75	0.6818181818181818	0.8461538461538461	0.8260869565217391	0.7222222222222222	0.8695652173913043	0.7142857142857143	0.7575757575757576	0.660377358490566	0.7647058823529411	0.7037037037037037	0.6190476190476191	0.5932203389830508	
Northern Pintail	0.20588235294117646	0.2	0.15384615384615385	0.0	0.08333333333333333	0.125	0.0	0.2	0.0	0.0	0.0	0.02564102564102564	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.058823529411764705	0.0	0.09523809523809523	0.0	0.0	0.125	0.13636363636363635	0.3076923076923077	0.2608695652173913	0.4722222222222222	0.2608695652173913	0.25	0.15151515151515152	0.11320754716981132	0.2647058823529412	0.0	0.23809523809523808	0.23728813559322035	
Green-winged Teal	0.23529411764705882	0.32	0.23076923076923078	0.17857142857142858	0.4583333333333333	0.5	0.46153846153846156	0.3	0.3333333333333333	0.30434782608695654	0.4827586206896552	0.5128205128205128	0.42857142857142855	0.5263157894736842	0.4	0.42857142857142855	0.14285714285714285	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.10714285714285714	0.23809523809523808	0.125	0.25	0.4166666666666667	0.45454545454545453	0.7692307692307693	0.6086956521739131	0.7222222222222222	0.6956521739130435	0.4642857142857143	0.6666666666666666	0.4339622641509434	0.6176470588235294	0.4444444444444444	0.42857142857142855	0.2033898305084746	
Redhead	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
