









Frequency of observations in the selected location(s).:
Number of taxa: 	217

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3.0	9.0	5.0	11.0	7.0	8.0	11.0	11.0	10.0	3.0	21.0	17.0	8.0	6.0	6.0	8.0	3.0	6.0	2.0	7.0	4.0	11.0	6.0	6.0	6.0	10.0	4.0	12.0	9.0	7.0	14.0	11.0	6.0	13.0	10.0	6.0	7.0	9.0	4.0	9.0	6.0	7.0	7.0	8.0	2.0	3.0	6.0	8.0	

Greater White-fronted Goose	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0015	0.14285714285714285	0.125	0.0	0.0	0.0	0.125	
Brant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.125	
Canada Goose	0.0	0.2222222222222222	0.2	0.2727272727272727	0.42857142857142855	0.125	0.18181818181818182	0.2727272727272727	0.7	0.6666666666666666	0.2857142857142857	0.23529411764705882	0.375	0.3333333333333333	0.5	0.5	0.3333333333333333	0.16666666666666666	0.5	0.2857142857142857	0.0	0.0	0.3333333333333333	0.0	0.0015	0.1	0.0	0.08333333333333333	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0015	0.16666666666666666	0.14285714285714285	0.1111111111111111	0.25	0.3333333333333333	0.16666666666666666	0.14285714285714285	0.42857142857142855	0.125	0.0	0.3333333333333333	0.16666666666666666	0.0	
Trumpeter/Tundra Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	
Eurasian Wigeon	0.3333333333333333	0.1111111111111111	0.0	0.36363636363636365	0.0	0.0	0.18181818181818182	0.0	0.4	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	
American Wigeon	0.6666666666666666	0.4444444444444444	0.6	0.8181818181818182	0.5714285714285714	0.625	0.8181818181818182	0.8181818181818182	1.0	1.0	0.6666666666666666	0.23529411764705882	0.125	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.5	0.5714285714285714	0.5714285714285714	0.875	0.5	1.0	0.5	0.375	
Eurasian x American Wigeon (hybrid)	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian/American Wigeon	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard	0.3333333333333333	0.4444444444444444	0.2	0.45454545454545453	0.2857142857142857	0.25	0.36363636363636365	0.2727272727272727	0.8	0.6666666666666666	0.19047619047619047	0.23529411764705882	0.25	0.16666666666666666	0.16666666666666666	0.125	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.07142857142857142	0.18181818181818182	0.16666666666666666	0.0	0.2	0.0	0.14285714285714285	0.0	0.25	0.3333333333333333	0.0	0.5714285714285714	0.42857142857142855	0.5	0.5	0.6666666666666666	0.3333333333333333	0.125	
Northern Pintail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	
Green-winged Teal	0.3333333333333333	0.3333333333333333	0.2	0.09090909090909091	0.14285714285714285	0.25	0.2727272727272727	0.09090909090909091	0.4	0.0	0.09523809523809523	0.058823529411764705	0.125	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.14285714285714285	0.0	0.0	0.0	0.16666666666666666	0.14285714285714285	0.42857142857142855	0.125	0.0	0.3333333333333333	0.3333333333333333	0.125	
Ring-necked Duck	0.3333333333333333	0.1111111111111111	0.0	0.0	0.14285714285714285	0.0	0.0	0.09090909090909091	0.1	0.0	0.047619047619047616	0.11764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Scaup	0.0	0.2222222222222222	0.2	0.0	0.14285714285714285	0.125	0.09090909090909091	0.09090909090909091	0.4	0.3333333333333333	0.0	0.058823529411764705	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.3333333333333333	0.14285714285714285	0.14285714285714285	0.0	0.0	0.3333333333333333	0.0	0.125	
Lesser Scaup	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	
Harlequin Duck	1.0	0.7777777777777778	1.0	1.0	1.0	1.0	0.9090909090909091	0.8181818181818182	1.0	1.0	0.9523809523809523	0.7647058823529411	1.0	0.8333333333333334	1.0	0.625	1.0	1.0	1.0	0.2857142857142857	0.5	0.45454545454545453	0.5	0.6666666666666666	0.6666666666666666	0.6	0.5	0.5833333333333334	0.6666666666666666	0.42857142857142855	0.2857142857142857	0.7272727272727273	0.8333333333333334	0.6923076923076923	0.9	0.6666666666666666	1.0	1.0	0.75	1.0	1.0	0.5714285714285714	1.0	1.0	0.5	1.0	1.0	0.875	
Surf Scoter	1.0	1.0	1.0	1.0	1.0	0.875	0.8181818181818182	0.9090909090909091	0.9	1.0	0.9047619047619048	0.8235294117647058	1.0	0.8333333333333334	1.0	0.75	1.0	0.5	0.5	0.0	0.25	0.09090909090909091	0.3333333333333333	0.16666666666666666	0.5	0.2	0.75	0.3333333333333333	0.3333333333333333	0.14285714285714285	0.14285714285714285	0.2727272727272727	0.5	0.5384615384615384	0.5	0.16666666666666666	0.8571428571428571	0.5555555555555556	0.5	0.8888888888888888	1.0	0.7142857142857143	0.8571428571428571	0.75	0.5	1.0	1.0	0.875	
White-winged Scoter	1.0	0.8888888888888888	0.8	0.8181818181818182	0.7142857142857143	0.5	0.7272727272727273	0.6363636363636364	0.5	1.0	0.6190476190476191	0.4117647058823529	0.25	0.6666666666666666	0.6666666666666666	0.25	0.6666666666666666	0.3333333333333333	0.5	0.14285714285714285	0.0	0.0	0.0	0.3333333333333333	0.0	0.2	0.25	0.16666666666666666	0.1111111111111111	0.0	0.0	0.0015	0.16666666666666666	0.07692307692307693	0.2	0.0	0.5714285714285714	0.5555555555555556	0.25	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.5714285714285714	0.625	0.5	1.0	0.6666666666666666	0.375	
Black Scoter	0.3333333333333333	0.0	0.0	0.09090909090909091	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.09523809523809523	0.058823529411764705	0.125	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	
Surf/Black Scoter	0.0	0.0	0.0	0.0	0.0	0.125	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
scoter sp.	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Long-tailed Duck	0.0	0.3333333333333333	0.4	0.18181818181818182	0.42857142857142855	0.0	0.45454545454545453	0.18181818181818182	0.6	0.0	0.3333333333333333	0.058823529411764705	0.125	0.16666666666666666	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.1111111111111111	0.5	0.42857142857142855	0.2857142857142857	0.5	0.5	0.0	0.16666666666666666	0.5	
Bufflehead	0.6666666666666666	0.7777777777777778	1.0	0.7272727272727273	1.0	1.0	0.8181818181818182	0.8181818181818182	0.9	1.0	0.6190476190476191	0.4117647058823529	0.875	0.8333333333333334	0.5	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1111111111111111	0.3333333333333333	0.5714285714285714	0.5714285714285714	0.75	0.5	0.6666666666666666	0.8333333333333334	0.5	
