









Frequency of observations in the selected location(s).:
Number of taxa: 	251

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	47.0	34.0	48.0	56.0	34.0	30.0	31.0	13.0	13.0	17.0	29.0	19.0	20.0	22.0	23.0	20.0	17.0	19.0	10.0	12.0	17.0	25.0	10.0	13.0	9.0	16.0	25.0	38.0	17.0	35.0	25.0	45.0	29.0	35.0	31.0	31.0	39.0	25.0	24.0	37.0	13.0	20.0	30.0	35.0	21.0	3.0	4.0	42.0	

Emperor Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0015	0.020833333333333332	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.02702702702702703	0.0	0.05	0.03333333333333333	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.05405405405405406	0.0	0.05	0.0	0.0	0.047619047619047616	0.0	0.0	0.0	
Brant	0.425531914893617	0.5882352941176471	0.3125	0.6071428571428571	0.6176470588235294	0.4666666666666667	0.5161290322580645	0.6923076923076923	0.6923076923076923	0.8235294117647058	0.7931034482758621	0.8947368421052632	0.9	0.7272727272727273	0.782608695652174	0.7	0.4117647058823529	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.125	0.04	0.02631578947368421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.06666666666666667	0.02857142857142857	0.0	0.3333333333333333	0.0	0.3333333333333333	
Cackling Goose	0.0425531914893617	0.0	0.020833333333333332	0.05357142857142857	0.029411764705882353	0.0	0.03225806451612903	0.07692307692307693	0.0	0.11764705882352941	0.0	0.10526315789473684	0.0	0.045454545454545456	0.043478260869565216	0.05	0.0	0.05263157894736842	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05128205128205128	0.0	0.041666666666666664	0.16216216216216217	0.0	0.1	0.03333333333333333	0.02857142857142857	0.14285714285714285	0.0	0.0	0.023809523809523808	
Canada Goose	0.46808510638297873	0.35294117647058826	0.3958333333333333	0.48214285714285715	0.38235294117647056	0.5333333333333333	0.45161290322580644	0.7692307692307693	0.7692307692307693	0.5882352941176471	0.5862068965517241	0.5789473684210527	0.45	0.4090909090909091	0.391304347826087	0.45	0.6470588235294118	0.7368421052631579	0.5	0.5	0.6470588235294118	0.72	0.4	0.38461538461538464	0.2222222222222222	0.3125	0.24	0.42105263157894735	0.23529411764705882	0.2	0.16	0.26666666666666666	0.3793103448275862	0.2571428571428571	0.1935483870967742	0.25806451612903225	0.38461538461538464	0.24	0.4583333333333333	0.4594594594594595	0.6153846153846154	0.55	0.36666666666666664	0.2571428571428571	0.38095238095238093	0.3333333333333333	0.5	0.21428571428571427	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Trumpeter Swan	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
